Год,"Посещения, чел.",Абсолютный прирост,"Темп роста, %","Темп прироста, %"
2018,66328543,,,
2019,62475975,-3852568.0,94.2,-5.8
2020,43695030,-18780945.0,69.9,-30.1
2021,52455343,8760313.0,120.0,20.0
2022,50910284,-1545059.0,97.1,-2.9
